Circostanze riferibili al conducente,Incidenti,I/300,Morti,Feriti,Lesionati,L/300
Luci abbaglianti accese,  3 ,0,  - ,  3 ,3,0
Uscita dal passo carrabile,  37 ,0,  1 ,  38 ,39,0
Fuoriuscita dalla carreggiata,  138 ,0,  2 ,  170 ,172,1
Carico che urta il pedone,  182 ,0,  3 ,  191 ,194,1
Frenata improvvisa,  300 ,1,  2 ,  335 ,337,1
Violazione dei segnali di divieto,  913 ,3,  7 ,  1.165 ,1172,4
Procedeva non in prossimità del margine destro della carreggiata,  961 ,3,  10 ,  1.335 ,1345,4
Sorpasso irregolare,  1.153 ,3,  10 ,  1.573 ,1583,5
Sorpasso regolare,  1.163 ,3,  13 ,  1.457 ,1470,5
In contromano,  2.460 ,8,  45 ,  3.659 ,3704,12
Svolta irregolare,  3.338 ,11,  14 ,  4.125 ,4139,14
Mancata precedenza al pedone,  7.189 ,23,  102 ,  7.942 ,8044,27
Eccesso di velocità,  9.647 ,32,  186 ,  13.326 ,13512,45
Mancata distanza di sicurezza,  9.911 ,33,  67 ,  14.374 ,14441,48
In manovra,  10.981 ,36,  84 ,  13.509 ,13593,45
Guida distratta o andamento indeciso,  18.457 ,61,  223 ,  24.475 ,24698,82
Mancata precedenza/semaforo,  23.137 ,77,  90 ,  31.533 ,31623,105
totale,  89.970 ,299,  859 ,  119.210 ,120069,400
