Circostanze riferibili a pedoni e trasportati,Incidenti,I/300,Morti,Feriti,Lesionati,L/300
Cammina in contromano,  60 ,0,  1 ,  69 ,  70 ,0
Cammina in mezzo alla carreggiata,  729 ,2,  19 ,  786 ,  805 ,3
Sosta sulla carreggiata,  148 ,0,  5 ,  165 ,  170 ,1
Lavora sulla carreggiata senza segnalazione,  36 ,0,  1 ,  46 ,  47 ,0
Salita su veicolo in marcia,  35 ,0,  - ,  37 ,  37 ,0
Discesa da veicolo con imprudenza,  1.477 ,5,  12 ,  1.542 ,  1.554 ,5
Spunta da dietro un veicolo fermo,  427 ,1,  5 ,  468 ,  473 ,2
Attraversa senza rispettare i segnali,  203 ,1,  5 ,  231 ,  236 ,1
Attraversa dove non consentito,  2.062 ,7,  44 ,  2.274 ,  2.318 ,8
Tenuta inadeguata ai sostegni,  1.016 ,3,  8 ,  1.064 ,  1.072 ,4
totale,  6.193 ,21,  100 ,  6.682 ,  6.782 ,23
